Offense,Punishment,Section
"Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,IPC_140
"Wantonly giving provocation with intent to cause riot, If rioting be committed",1 Year or Fine or Both,IPC_153
Promoting enmity between classes,3 Years or Fine or Both,IPC_153A
Promoting enmity between classes,3 Years or Fine or Both,IPC_153AA
"Imputations, assertions prejudicial to national integration",3 Years or Fine or Both,IPC_153B
"Owner or occupier of land non giving information of riot, etc.",Fine,IPC_154
Person for whose benefit or on whose behalf a riot takes place not using all lawful means to prevent it,Fine,IPC_155
Agent of owner or occupier for whose benefit a riot is committed not using all lawful means to prevent it,Fine,IPC_156
Harbouring persons hired for an unlawful assembly,6 Months or Fine or Both,IPC_157
Being hired to take part in an unlawful assembly or riot,6 Months or Fine or Both,IPC_158
Engaging in a public fight and disturbing peace is committing an affray with two or more individuals.,1 Month or Fine or Both,IPC_159
"Joining or continuing in an unlawful assembly, Knowing that it has been commanded to disperse",2 Years or Fine or Both,IPC_145
Committing affray,1 Month or Fine or Both,IPC_160
"Being or expecting to be a public servant, and taking A gratification other than Legal remuneration in respect of an official act",3 Years or Fine or Both,IPC_161
"Taking a gratification in order, by corrupt or illegal means, to influence a public servant",3 Years or Fine or Both,IPC_162
Taking a gratification for the exercise of personal influence with a public servant,Simple Imprisonment for 1 Year or Fine or Both,IPC_163
Abetment by public servant of the offences defined in the last two preceding clauses with reference to himself,3 Years or Fine or Both,IPC_164
"Public servant obtaining any valuable thing, without consideration, From a person concerned in any proceeding or business transacted by Such public servant",3 Years or Fine or Both,IPC_165
Punishment for abetment of offences punishable under section 161 or section 165,3 Years or Fine or Both,IPC_165A
Public servant disobeying a direction of the law with intent to cause injury to any person,Simple Imprisonment for 1 Year or Fine or Both,IPC_166
Public servant disobeying direction under law,6 months to 2 years + Fine,IPC_166A
" anyone overseeing a hospital, whether public or private, and breaching the provisions of Section 357C of the Code of Criminal Procedure.",1 Year or Fine or Both,IPC_166B
Rioting,2 Years or Fine or Both,IPC_146
Public servant framing an incorrect document with intent to cause injury,3 Years or Fine or Both,IPC_167
Public servant unlawfully engaging in trade,Simple Imprisonment for 1 Year or Fine or Both,IPC_168
Public servant unlawfully buying or bidding for property,"Simple Imprisonment for 2 Years or Fine or Both and confiscation of property, if purchased",IPC_169
Personating a Public servant,2 Years or Fine or Both,IPC_170
As described,3 Months or Fine or Both,IPC_171
"""Candidate"", ""Electoral right"" defined",nan,IPC_171A
nan,nan,IPC_171B
nan,nan,IPC_171C
nan,nan,IPC_171D
Bribery,"1 Year or Fine or Both, or if treating only, fine only",IPC_171E
Rioting,2 Years or Fine or Both,IPC_147
Undue influence at an election,1 Year or Fine or Both,IPC_171F
False statement in connection with an election,Fine,IPC_171G
Illegal payments in connection with elections,Fine,IPC_171H
Failure to keep election accounts,Fine,IPC_171I
Absconding to avoid service of summons or other proceeding from a public servant,Simple Imprisonment for 1 Month or Fine or Both,IPC_172
"Preventing the service or The affixing of any summons of notice, or the removal of it when it has been affixed, or preventing a reclamation",Simple Imprisonment for 1 Month or Fine or Both,IPC_173
"Not obeying a legal order to attend at a certain place in person or by agent, or departing therefrom without authority",Simple Imprisonment for 1 Month or Fine or Both,IPC_174
Failure to appear at specified place and specified time as required by a proclamation published under Sub-Section 1 of section 82 of this Code,3 Years or Fine or Both,IPC_174A
Intentionally omitting to produce a document to a public servant by a person legally bound to produce deliver such document,Simple Imprisonment for 1 Month or Fine or Both,IPC_175
Intentionally omitting to Give notice or information to a public servant by a person legally bound to Give such notice or information,Simple Imprisonment for 1 Month or Fine or Both,IPC_176
Rioting armed with deadly Weapon,3 Years or Fine or Both,IPC_148
Knowingly furnishing false information to a public servant,6 Months or Fine or Both,IPC_177
Refusing oath when duly required to take oath by a public servant,Simple Imprisonment for 6 Months or Fine or Both,IPC_178
"Being legally bound to state truth, and refusing to answer questions",Simple Imprisonment for 6 Months or Fine or Both,IPC_179
Refusing to sign statement made to a public servant when legally required to do so,Simple Imprisonment for 3 Months or Fine or Both,IPC_180
"Knowingly stating to a public servant, on oath as True that which is false",3 Years + Fine,IPC_181
Giving false information to a public servant in order to cause him to use his lawful power to the injury or annoyance of any person,6 Months or Fine or Both,IPC_182
Resistance to the taking of property by the lawful authority of a public servant,6 Months or Fine or Both,IPC_183
Obstructing sale of property offered for sale by authority of a public servant,1 Month or Fine or Both,IPC_184
"Bidding, by a person under a legal incapacity to purchase it, for property at a lawfully authorized Sale, or bidding without intending to perform the obligations incurred thereby",1 Month or Fine or Both,IPC_185
Obstructing public servant in discharge of his public functions,3 Months or Fine or Both,IPC_186
"If an offence be committed by any member of an unlawful assembly, every other member of such assembly shall be guilty of the offence",Same As Offence,IPC_149
Omission to assist public servant when bound by law to give such assistance,Simple Imprisonment for 1 Month or Fine or Both,IPC_187
"Disobedience to an order lawfully promulgated by a public servant, If such disobedience causes obstruction, annoyance or injury to persons lawfully employed",Simple Imprisonment for 1 Month or Fine or Both,IPC_188
"Threatening a public servant with injury to him or one in whom he is interested, to induce him to do or forbear to do any official act",2 Years or Fine or Both,IPC_189
Threatening any person to induce him to refrain From making a legal application for protection From injury,1 Year or Fine or Both,IPC_190
"Hiring, engaging or employing persons to Take part in an unlawful assembly",Same as a Member and for Offence by any Member,IPC_150
Knowingly joining or continuing in any assembly of five or more Persons after it has been commanded to disperse,6 Months or Fine or Both,IPC_151
"Assaulting or obstructing public servant when suppressing riot, etc.",3 Years or Fine or Both,IPC_152
Resistance or obstruction by a person to his lawful apprehension,2 Years or Fine or Both,IPC_224
"Resistance or obstruction to the lawful apprehension of any person, or, rescuing him from lawful custody",2 Years or Fine or Both,IPC_225
"Omission to apprehend, or sufferance of escape on part of public servant, in cases not otherwise provided for, In case of intentional omission or sufferance",3 Years or Fine or Both,IPC_225A
"Resistance or obstruction to lawful apprehension, or escape or rescue in cases not otherwise provided for",6 Months or Fine or Both,IPC_225B
nan,nan,IPC_226
nan,nan,IPC_191
nan,nan,IPC_192
Giving or fabricating false evidence in a judicial proceeding,7 Years + Fine,IPC_193
Giving or fabricating false evidence with intent to cause any person to be convicted of a capital offence,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_194
Giving or fabricating false evidence with intent to procure conviction of an offence punishable with imprisonment for life or with imprisonment for 7 Years or upwards,Same As Offence,IPC_195
Threatening any person to give false evidence,7 Years or Fine or Both,IPC_195A
Using in a judicial proceeding evidence known to be false or fabricated,As For False Evidence,IPC_196
Knowingly issuing or signing a false certificate relating to any fact of which such certificate is by law admissible in evidence,As for False Evidence,IPC_197
Using as a true certificate one known to be false in a material point,As for False Evidence,IPC_198
False statement made in any declaration which by law receivable as evidence,As for False Evidence,IPC_199
Using as true any such declaration known to be false,As for False Evidence,IPC_200
"Causing disappearance of evidence of an offence committed, or giving false information touching it to screen the offender, If a capital offence",7 Years + Fine,IPC_201
Intentional omission to give information of an offence by a person legally bound to inform,6 Months or Fine or Both,IPC_202
Giving false information respecting an offence committed,2 Years or Fine or Both,IPC_203
Secreting or destroying any document to prevent its production as evidence,2 Years or Fine or Both,IPC_204
"False personation for the purpose of any act or proceeding in a suit or criminal prosecution, or for becoming bail or security",3 Years or Fine or Both,IPC_205
"Fraudulent removal or concealment, etc., of property to prevent its seizure as a forfeiture, or in satisfaction of a Fine under sentence, or in execution of a decree",2 Years or Fine or Both,IPC_206
"Claiming property without right, or practicing deception touching any right to it, to prevent its being taken as a forfeiture or in satisfaction of a Fine under sentence, or in execution of a decree",2 Years or Fine or Both,IPC_207
"Fraudulently suffering a decree to pass for a sum not due, or suffering decree to be executed after it has been satisfied",2 Years or Fine or Both,IPC_208
False claim in a court of Justice,2 Years + Fine,IPC_209
"Fraudulently obtaining a decree for a sum not due, or causing a decree to be executed after it has been satisfied",2 Years or Fine or Both,IPC_210
False charge of offence made with intent to injure,2 Years or Fine or Both,IPC_211
"Harbouring an offender, If the offence be capital",5 Years + Fine,IPC_212
"Taking gift, etc., to screen an offender from punishment, If the offence be capital",7 Years + Fine,IPC_213
"Offering gift or restoration of property in consideration of screening offender, If the offence be capital",7 Years + Fine,IPC_214
Taking gift to help to recover movable property of which a person has been deprived by an offence without causing apprehension of offender,2 Years or Fine or Both,IPC_215
"Harbouring an offender who has escaped from custody, or whose apprehension has been ordered, If the offence be capital",7 Years + Fine,IPC_216
Harbouring robbers or dacoits,Rigorous Imprisonment for 7 Years and Fine,IPC_216A
nan,nan,IPC_216B
"Public servant disobeying a direction of law with intent to save person from punishment, or property from forfeiture",2 Years or Fine or Both,IPC_217
"Public servant framing an incorrect record or writing with intent to save person from punishment, or property from forfeiture",3 Years or Fine or Both,IPC_218
"Public servant in a judicial proceeding corruptly Making and pronouncing an order, report, Verdict, or decision which he knows to be contrary to law",7 Years or Fine or Both,IPC_219
"Commitment for trial or confinement by a person Having authority, who Knows that he is Acting contrary to law",7 Years or Fine or Both,IPC_220
"Intentional omission to apprehend on the part of a public servant bound by law to apprehend an offender, If the offence be Capital",7 Years with or without Fine,IPC_221
"Intentional omission to apprehend on the part of A public servant bound by law to apprehend person under sentence of a court of Justice, If under sentence of death",Imprisonment for Life or 14 Years with or without Fine,IPC_222
Escape from confinement negligently suffered by a public servant,Simple Imprisonment for 2 Years or Fine or Both,IPC_223
Violation of condition of remission of punishment,"Original Sentence, minus time already served",IPC_227
Intentional insult or interruption to a public servant sitting in any stage of a judicial proceeding,Simple Imprisonment for 6 Months or Fine or Both,IPC_228
"Disclosure of identity of the victim of certain offences, etc.",2 Years + Fine,IPC_228A
Personation of a juror or assessor,2 Years or Fine or Both,IPC_229
Failure by person released on bail or bond to appear in Court,1 Year or Fine or Both,IPC_229A
nan,nan,IPC_230
"Counterfeiting, or performing any part of the process of counterfeiting coin",7 Years + Fine,IPC_231
"Counterfeiting, or performing any part of the process of counterfeiting coin",Imprisonment for Life or 10 Years + Fine,IPC_232
"Making, buying or selling instrument for the purpose of counterfeiting coin",3 Years + Fine,IPC_233
"Making, buying or selling instrument for the purpose of counterfeiting Indian coin",7 Years + Fine,IPC_234
Possession of instrument or material for the purpose of using the same for counterfeiting coin,3 Years + Fine,IPC_235
"Abetting, in India, the counterfeiting, out of India, of coin",The punishment provided for abetting the counterfeiting of such coin within India,IPC_236
"Import or export of counterfeit coin, knowing the same to be counterfeit",3 Years + Fine,IPC_237
"Import or export of counterfeit of Indian coin, knowing the same to be counterfeit",Imprisonment for Life or 10 Years + Fine,IPC_238
"Having any counterfeit coin known to be such when it came into possession, and delivering, etc., the same to any person",5 Years + Fine,IPC_239
Same with respect to Indian coin,10 Years + Fine,IPC_240
"Knowingly delivering to another any counterfeit coin as genuine, which, when first possessed, the deliverer did not know to be counterfeit",2 Years or Fine or 10 x Value of Coin or Both,IPC_241
Possession of counterfeit coin by a person who knew it to be counterfeit when he became possessed thereof,3 Years + Fine,IPC_242
Possession of Indian coin by a person who knew it to be counterfeit when he became possessed thereof,7 Years + Fine,IPC_243
Person employed in a Mint causing coin to be of a different weight or composition from that fixed by law,7 Years + Fine,IPC_244
Unlawfully taking from a Mint any coining instrument,7 Years + Fine,IPC_245
Fraudulently diminishing the weight or altering the composition of any coin,3 Years + Fine,IPC_246
Fraudulently diminishing the weight or altering the composition of Indian coin,7 Years + Fine,IPC_247
Altering appearance of any coin with intent that it shall pass as a coin of a different description,3 Years + Fine,IPC_248
Altering appearance of Indian coin with intent that it shall pass as a coin of a different description,7 Years + Fine,IPC_249
Delivery to another of coin possessed with the knowledge that it is altered,5 Years + Fine,IPC_250
Delivery of Indian coin possessed with the knowledge that it is altered,10 Years + Fine,IPC_251
Possession of altered coin by a person who knew it to be altered when he became possessed thereof,3 Years + Fine,IPC_252
Possession of Indian coin by a person who knew it to be altered when he became possessed thereof,5 Years + Fine,IPC_253
"Delivery to another of coin as genuine which, when first possessed, the deliverer did not know to be altered",2 Years or Fine or 10 x Value of Coin,IPC_254
Counterfeiting a Government stamp,Imprisonment for Life or 10 Years + Fine,IPC_255
Having possession of an instrument or material for the purpose of counterfeiting a Government stamp,7 Years + Fine,IPC_256
"Making, buying or selling instrument for the purpose of counterfeiting a Government stamp",7 Years + Fine,IPC_257
Sale of counterfeit Government stamp,7 Years + Fine,IPC_258
Having possession of a counterfeit Government stamp,7 Years + Fine,IPC_259
Using as genuine a Government stamp known to be counterfeit,7 Years or Fine or Both,IPC_260
"Effacing any writing from a substance bearing a Government stamp, or removing from a document a stamp used for it, with intent to cause a loss to Government",3 Years or Fine or Both,IPC_261
Using a Government stamp known to have been before used,2 Years or Fine or Both,IPC_262
Erasure of mark denoting that stamps have been used,3 Years or Fine or Both,IPC_263
Fictitious stamps,Fine,IPC_263A
Fraudulent use of false instrument for weighing,1 Year or Fine or Both,IPC_264
Fraudulent use of false weight or measure,1 Year or Fine or Both,IPC_265
Being in possession of false weights or measures for fraudulent use,1 Year or Fine or Both,IPC_266
Making or selling false weights or measures for fraudulent use,1 Year or Fine or Both,IPC_267
nan,nan,IPC_268
Negligently doing any act known to be likely to spread infection of any disease dangerous to life,6 Months or Fine or Both,IPC_269
Malignantly doing any act known to be likely to spread infection of any disease dangerous to life,2 Years or Fine or Both,IPC_270
Knowingly disobeying any quarantine rule,6 Months or Fine or Both,IPC_271
"Adulterating food or drink intended for sale, so as to make the same noxious",6 Months or Fine or Both,IPC_272
"Selling any food or drink as food and drink, knowing the same to be noxious",6 Months or Fine or Both,IPC_273
"Adulterating any drug or medical preparation intended for sale so as to lessen its efficacy, or to change its operation, or to make it noxious",6 Months or Fine or Both,IPC_274
Offering for sale or issuing from a dispensary any drug or medical preparation known to have been adulterated,6 Months or Fine or Both,IPC_275
Knowingly selling or issuing from a dispensary any drug or medical preparation as a different drug or medical preparation,6 Months or Fine or Both,IPC_276
Defiling the water of a public spring or reservoir,3 Months or Fine or Both,IPC_277
Making atmosphere noxious to health,Fine,IPC_278
"Driving or riding on a public way so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both,IPC_279
"Navigating any vessel so rashly or negligently as to endanger human life, etc.",6 Months or Fine or Both,IPC_280
"Exhibition of a false light, mark or buoy",7 Years or Fine or Both,IPC_281
"Conveying for hire any person by water, in a vessel in such a state, or so loaded, as to endanger his life",6 Months or Fine or Both,IPC_282
"Causing danger, obstruction or, injury in any public way or line of navigation",Fine,IPC_283
"Dealing with any poisonous substance so as to endanger human life, etc.",6 Months or Fine or Both,IPC_284
"Dealing with fire or any combustible matter so as to endanger human life, etc.",6 Months or Fine or Both,IPC_285
So dealing with any explosive substance,6 Months or Fine or Both,IPC_286
So dealing with any machinery,6 Months or Fine or Both,IPC_287
A person omitting to guard against probable danger to human life by the fall of any building over which he has a right entitling him to pull it down or repair it,6 Months or Fine or Both,IPC_288
"A person omitting to take order with any animal in his possession, so as to guard against danger to human life, or of grievous hurt, from such animal",6 Months or Fine or Both,IPC_289
Committing a public nuisance,Fine,IPC_290
Committing a nuisance after injunction to discontinue,"Simple Imprisonment for 6 Months, or Fine, or Both",IPC_291
"Sale, etc., of obscene books, etc.","First conviction 2 Years + Fine, then 5 Years + Fine",IPC_292
"Sale etc., of obscene objects to young persons","First conviction 3 Years + Fine, then 7 Years + Fine",IPC_293
Obscene Songs,3 Months or Fine or Both,IPC_294
Keeping a lottery office,6 Months or Fine or Both,IPC_294A
"Destroying, damaging or defiling a place of worship or sacred object with intent to insult the religion of any class of persons",2 Years or Fine or Both,IPC_295
Maliciously insulting the religions or the religious beliefs of any class,3 Years or Fine or Both,IPC_295A
Causing a disturbance to an assembly engaged in religious worship,1 Year or Fine or Both,IPC_296
"Trespassing in place of worship or sepulchre, disturbing funeral with intention to wound the feeling or to insult the religion of any person, or offering indignity to a human corpse",1 Year or Fine or Both,IPC_297
"Uttering any word or making any sound in the hearing or making any gesture, or placing any object in the sight of any person, with intention to wound his religious feelings",1 Year or Fine or Both,IPC_298
nan,nan,IPC_299
nan,nan,IPC_29A
nan,nan,IPC_300
nan,nan,IPC_301
Murder,Death or Imprisonment for Life + Fine,IPC_302
Murder by a person under Sentence of imprisonment for life,Death,IPC_303
"Culpable homicide not amounting to murder, If act by which the death is caused is done with intention of causing death, etc.",Imprisonment for Life or 10 Years + Fine,IPC_304
Causing death by rash or negligent act,2 Years or Fine or Both,IPC_304A
Dowry death,"Imprisonment for not less than 7 Years, but upto Life",IPC_304B
"Abetment of suicide committed by child or insane or delirious person or an idiot, or a person intoxicated",Death or Imprisonment for Life or 10 Years + Fine,IPC_305
